Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.07570856064558029,0.5032431483268738,0.9842889904975891,0.8540935516357422
2,0.07580877095460892,0.6047769784927368,0.97793048620224,0.8431078195571899
3,0.08503017574548721,0.8901534080505371,0.9756397604942322,0.784241795539856
4,0.07326333224773407,0.83800208568573,0.9849363565444946,0.8067968487739563
5,0.04947309568524361,0.6508581042289734,0.9880143404006958,0.802405595779419
,,,Mean F1 Score,"0,81812912"
