Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.07666898518800735,0.5424407720565796,0.9777027368545532,0.862281084060669
2,0.09136655181646347,0.618967592716217,0.9800293445587158,0.8437338471412659
3,0.05348198488354683,0.7209392189979553,0.9788350462913513,0.8501197695732117
4,0.06987970322370529,0.5118905305862427,0.9832677841186523,0.859578549861908
5,0.08964361250400543,0.4179880619049072,0.9715521335601807,0.8914065957069397
,,,Mean F1 Score,"0,86142397"
