Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.0854247659444809,0.528301477432251,0.9718149304389954,0.8611215353012085
2,0.1432366967201233,0.6438331604003906,0.9663533568382263,0.8306077718734741
3,0.05851517245173454,0.4258440434932709,0.9860432147979736,0.9004124999046326
4,0.06973101198673248,0.742292582988739,0.978726863861084,0.8430243134498596
5,0.08728174865245819,0.6759428977966309,0.9793989062309265,0.8474363088607788
,,,Mean F1 Score,"0,85652049"
