Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.11017445474863052,0.733392059803009,0.9687570333480835,0.8089286088943481
2,0.05460233986377716,1.0476807355880737,0.9914473295211792,0.7721428275108337
3,0.03632047027349472,0.6768418550491333,0.9943608641624451,0.7974107265472412
4,0.06650583446025848,0.3931758999824524,0.982978343963623,0.8811111450195312
5,0.08344736695289612,0.5932342410087585,0.9834814667701721,0.8100000619888306
,,,Mean F1 Score,"0,81391867"
