Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.054040953516960144,0.4521542191505432,0.9833592176437378,0.8971230983734131
2,0.08333325386047363,0.3105027973651886,0.9815672636032104,0.9051724076271057
3,0.07263538241386414,0.580535888671875,0.9827651977539062,0.8800082206726074
4,0.06540978699922562,0.41037172079086304,0.9779428839683533,0.9198778867721558
5,0.046486612409353256,0.2882113456726074,0.9809383749961853,0.9283936023712158
,,,Mean F1 Score,"0,90611504"
