Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.03689160943031311,0.47321274876594543,0.9888533353805542,0.8388574719429016
2,0.05107678845524788,0.5896088480949402,0.9861634969711304,0.8730718493461609
3,0.024473147466778755,0.46661412715911865,0.9929668307304382,0.8808649778366089
4,0.030900385230779648,0.6823529601097107,0.9951736927032471,0.8107560873031616
5,0.02845916710793972,0.6528325080871582,0.9915109872817993,0.8263888359069824
,,,Mean F1 Score,"0,84598784"
