Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.049967799335718155,0.6261718273162842,0.9842131733894348,0.8586904406547546
2,0.025643115863204002,0.8184753656387329,0.9949561953544617,0.8170932531356812
3,0.08049297332763672,0.9133943915367126,0.9685359001159668,0.8626190423965454
4,0.062060028314590454,0.3661412000656128,0.9807435274124146,0.831944465637207
5,0.054080136120319366,0.5670685172080994,0.9821507334709167,0.8553571701049805
,,,Mean F1 Score,"0,84514087"
