Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.056780487298965454,0.569394588470459,0.9922723174095154,0.8647916913032532
2,0.041037607938051224,0.7136072516441345,0.9894737601280212,0.8254166841506958
3,0.08426444977521896,0.5629997849464417,0.9796679615974426,0.8601388931274414
4,0.10228727757930756,0.6269354820251465,0.9833922386169434,0.8254167437553406
5,0.06322595477104187,0.704850435256958,0.9859023094177246,0.8238690495491028
,,,Mean F1 Score,"0,83992661"
