Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.05340635031461716,0.6797211170196533,0.9913952350616455,0.8476190567016602
2,0.026432735845446587,0.9710683226585388,0.9962928295135498,0.777301549911499
3,0.030458128079771996,0.819287896156311,0.991721510887146,0.8399206399917603
4,0.025957008823752403,0.6995292901992798,0.9961987733840942,0.865059494972229
5,0.017778651788830757,0.6503219604492188,0.9981203675270081,0.8022222518920898
,,,Mean F1 Score,"0,82642460"
