Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.03463007137179375,0.3610111176967621,0.9901469945907593,0.907293438911438
2,0.03532949090003967,0.5758703947067261,0.9823732972145081,0.8439586758613586
3,0.04451142996549606,0.47344934940338135,0.9807934761047363,0.864915132522583
4,0.043498363345861435,0.4541997015476227,0.9907901287078857,0.8941638469696045
5,0.04770631343126297,0.23156453669071198,0.9760856032371521,0.9340516924858093
,,,Mean F1 Score,"0,88887656"
