sound_filepath,local_jitter,local_shimmer,min_intensity,relative_min_intensity_time,max_intensity,relative_max_intensity_time,mean_intensity,stddev_intensity,q1_intensity,median_intensity,q3_intensity,voiced_fraction,min_pitch,relative_min_pitch_time,max_pitch,relative_max_pitch_time,mean_pitch,stddev_pitch,q1_pitch,q3_pitch,mean_absolute_pitch_slope,pitch_slope_without_octave_jumps,min_hnr,relative_min_hnr_time,max_hnr,relative_max_hnr_time,mean_hnr,stddev_hnr,min_gne,max_gne,mean_gne,stddev_gne,sum_gne,band_energy,band_density,band_energy_difference,band_density_difference,center_of_gravity_spectrum,stddev_spectrum,skewness_spectrum,kurtosis_spectrum,central_moment_spectrum,f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median,formant_dispersion,average_formant,mff,fitch_vtl,delta_f,vtl_delta_f,label
./datasets/fardo/m01s12_.wav,0.02375578728298529,0.09642373755461352,46.54668759124152,0.9358102609576288,76.88074576930454,0.5478347586019958,62.322290592488734,9.744015333062537,51.68696113582273,122.22845071225068,70.13485652876842,0.4797687861271676,98.8249063479852,0.9177492238537669,593.5166188206422,0.31433593750000005,130.0506253172365,55.19549369594937,113.75025941432082,132.83847424653655,382.8602126571414,15.593806632596035,-226.1358358516343,0.9210937500000002,41.84860832875599,0.8617091792740791,9.996582213578497,6.512874662087364,0.0,0.7695299423252592,0.2528838478374745,0.323955435421915,657.7508882252712,0.00930620049313593,1.1632750616419913e-05,-3.787291580456757,-12.238271980599325,1043.8198194128565,1756.8486447611754,3.1739476102519673,12.209372549419315,17210868953.57492,570.0046338866134,1746.0936226309532,2725.118978866615,3659.4169720961213,455.35315430176854,1703.9193759727805,2609.2460721820607,3537.2942586624968,1027.3137014535762,2076.4532152797765,1635.8591390050608,17.176075827872587,1032.7238441373306,16.94547879314082,tristeza
./datasets/fardo/m03n09_.wav,0.01919778810309765,0.09514218228109653,46.71697191400839,0.6435798714620051,77.00422254881559,0.41184498558112936,64.29524587783187,9.216914265797165,57.856279043945236,106.13678378440667,72.06791327647868,0.558,89.40535020300142,0.8658370260997036,498.218003090421,0.9792874243951613,110.59248503144072,26.41488679779796,102.45095909363638,113.63514657414152,192.16399872670544,16.99693827627236,-226.97679609114437,0.9028792842741936,51.6941766628257,0.2479415741244999,10.672082689099614,6.487090610504442,0.0,0.7695311376497684,0.2256992743232729,0.29109862604574543,587.0438125148329,0.012684708890644996,1.5855886113306246e-05,-5.107959759493457,-13.558940159636023,587.4524982142411,1030.4992250896032,5.275421982283185,35.58677500240887,5772982131.691795,575.5834131327063,1680.1073606304988,2682.433376025353,3716.2992986024797,468.7215982928293,1604.8937309982114,2578.4413973063265,3613.7447131344397,1048.3410382805368,2066.450359932952,1627.1177968515715,17.235203221226495,1035.0433992800042,16.907503600499584,neutro
./datasets/fardo/m02h08_.wav,0.022319281617259608,0.08636001610573463,46.91426738515079,0.8153284376310626,78.90837400962683,0.31601180509834914,61.522908818835276,11.109910322035667,50.12023021915555,195.00139831244073,72.7690212027444,0.4408284023668639,75.92209077490924,0.2363103278933492,587.2682741588231,0.48681640625,195.77911826581308,61.74513781798217,176.70230911038274,218.09575928507218,788.8370952550348,25.577543702783874,-226.4282124855592,0.78857421875,34.65223175243579,0.4839212594297012,10.119743082538275,7.381032228103478,0.0,0.7901871326395199,0.26006062459904133,0.3326720539009129,676.4176845821065,0.012452185471129699,1.5565231838912123e-05,1.007553610548503,-7.443426789594065,720.4516383379805,1350.8065722200615,7.183746680251005,59.40239315822968,17706409515.61529,589.231429965878,1592.0682088152312,2715.900993753299,4034.0248614670086,549.5781573740871,1581.4918635078611,2578.762622842979,4017.747691251081,1156.0565112923314,2181.895083744002,1732.29803655143,16.182478704150235,1102.6690643064317,15.870582177806297,felicidade
./datasets/fardo/m02a07_.wav,0.025296694874060936,0.1265295319849316,46.91186502719713,0.15368563644123573,79.76682037231855,0.5998710728578235,63.16200742241207,10.681501150677922,51.932206903198676,132.1217648627947,72.71095162241818,0.48253968253968255,100.91530391512335,0.6964799490647469,554.3875123705462,0.8041192495911347,149.26265698868437,69.9563536031813,122.62680784137316,149.92106479210622,551.0586893766433,38.30127425161482,-226.47427650027205,0.23279966925182477,37.87802773106456,0.2265280825089132,9.90564540747826,4.8962670160639234,0.0,0.8308047541071648,0.26835330259169693,0.345704519372816,697.9869400410037,0.010523038589539084,1.3153798236923856e-05,-5.613423226065633,-14.0644036262082,1196.5606109683692,2470.405243040791,3.0645821117588627,8.365932258867659,46203605106.98215,593.6506001439952,1636.8682425288102,2639.214171639971,3752.892161783859,480.49801725060274,1605.1619872095496,2530.465686924799,3680.8444411110127,1066.7821412868034,2074.242533123991,1637.154234299774,17.12331840851231,1040.8148452685793,16.81374941907576,raiva
./datasets/fardo/m01a05_.wav,0.025318066384009973,0.1132940902665122,45.26442128219115,0.8585887162649345,76.94994177319752,0.22573245525222163,62.13367407318463,10.387842551225969,49.509070934589886,149.75588843571603,71.4128563654028,0.24242424242424243,79.28699703629066,0.36916534810126583,184.1347154972075,0.4385986520976636,147.13562716975403,21.844506154166666,139.87191299988018,155.9583072307119,184.9345723971643,15.884282363184294,-226.55443486168593,0.19608200652689875,36.06835071996116,0.19073182796331836,4.254541573268188,5.310150691443153,0.0,0.7246376472185737,0.2552112970609629,0.325930562259146,663.8045836555644,0.0024072201933060845,3.009025241632605e-06,-1.0028407979476464,-9.453821198090214,3702.2080110974657,3958.9466633495354,0.8072838514312439,-0.6068529843104544,50091636166.85351,523.5523809870621,2014.804247129627,2809.0363883096293,3999.734275374854,412.49490452327456,2044.7573843128532,2679.5083997950605,3932.1682486038403,1173.2244480268553,2267.232234308757,1726.580759945108,16.48859045541232,1130.225876111048,15.483630635156839,raiva
./datasets/fardo/m01a05_aug.wav,0.02364875858207553,0.16769881249511515,59.91984461331244,0.3550866821211473,87.8313375707988,0.5165094738597872,72.7498904440419,6.989505855163483,67.1675325980994,156.4018006211819,78.48407943691339,0.23140495867768596,129.06721208148682,0.9265637481411619,190.84900410564165,0.5131404910867562,159.4722198000186,15.445422645376148,153.69407725429556,164.54558380182306,86.06752632326928,9.343917130853798,-225.8575672338879,0.9374783672863924,32.674508257492704,0.9320284556350003,2.9820993842335857,4.061862936432527,0.0,0.5979754007869098,0.2125429845343028,0.2713471812718158,552.8243027737216,0.012335925499937799,1.541990687492225e-05,-1.5554547905160565,-10.006435190658625,3971.932589087852,4263.679929047123,0.8418268619322801,-0.36995483485642877,65249406375.16064,610.213060109604,2091.0107980318044,2976.496100733223,4022.39775095103,495.088212262282,2075.612555192782,2890.3869101602604,3978.766307948591,1161.2260318954363,2359.963496390979,1854.100718339634,15.212771992756178,1167.267252006716,14.992282161531344,raiva
./datasets/fardo/m02a07_aug.wav,0.02569114872702944,0.12743218329843048,60.54832034067646,0.6431165607537441,88.52135479563657,0.6870954446655749,74.32576958078604,7.456331177787253,66.2913011028256,130.95751057431565,80.3386268732893,0.5523809523809524,97.59749867842348,0.8096504230136908,199.99170896679772,0.692891573941145,136.4114577626002,23.620473174200118,118.77725541745798,144.99201463715679,253.15671305124312,27.37797777085374,-225.81916346532196,0.6320283987226278,27.531299752211467,0.9275336802902779,8.343098178289994,4.419040567278647,0.0,0.49809537376828433,0.16036438711054,0.20506481701122026,417.1077708745145,0.060743583596259434,7.592947949532429e-05,-6.112737614161626,-14.563718014304193,1262.0728636367205,2721.08240948916,3.2102690991610086,10.40305110926696,64679480484.297424,680.5983562102117,1865.3057349575354,2959.2794697947174,4043.8938237901475,580.8383526387694,1908.469469371744,2858.5381724120357,3977.4814566449018,1132.2143680020442,2331.3318627668627,1884.1833657226925,14.880781751970003,1153.3644718887736,15.173000752608269,raiva
./datasets/fardo/m02h08_aug.wav,0.018419533735013274,0.1350862223642718,60.81641419857888,0.9723064328500128,86.84273480250366,0.7289575990332099,71.78794424683146,8.518619718637833,62.90872839256183,220.72069405989842,79.631557943398,0.4467455621301775,80.07664887879233,0.28115145614031206,280.4264449336763,0.7201399592205445,213.95840999147273,48.75210596614784,198.96494113159756,245.75518617191005,335.8857048381628,14.588758463431706,-225.94358263691237,0.51904296875,31.812993317344464,0.5132472753772722,7.193806242761639,6.600328696684846,0.0,0.6076322138750597,0.20625174166342936,0.2636989792197999,536.4607800665798,0.0733583536033813,9.169794200422663e-05,2.3168416467697734,-6.1341387533727945,1000.9936041506287,2137.103838685868,5.737091597096182,35.79757203451265,55997502391.79569,648.8661743825269,1696.860799055078,2867.2864966697107,4103.840029310059,587.3273992587641,1738.2768620979516,2799.765078994572,4142.641127106335,1185.1045759491903,2317.002616864406,1855.0239833048154,15.102680083993958,1161.8921731016626,15.061638597051463,felicidade
./datasets/fardo/m03n09_aug.wav,0.019809796189862745,0.12126946073492216,56.47799104176927,0.9724010249553532,85.78586662314294,0.7509168615121761,74.21448332605462,8.340129806003144,67.88937032450995,103.96658418726255,80.36170669277678,0.68,75.05160742215715,0.29459110383064513,598.9573395878738,0.9951644405241935,108.5664493928902,29.724604431628112,100.32439687169753,112.02884095232004,251.65222793044782,21.743459182853766,-226.64819338633424,0.9524949596774194,37.08515350301721,0.3352334344129301,9.008464854096808,5.979746381164797,0.0,0.6077620508468922,0.21445136026774098,0.27395426494567326,557.7879880563943,0.09129320449015783,0.0001141165056126973,-6.3919201798641145,-14.842900580006681,533.9844030620276,1108.2846239792152,6.49066196259846,60.681366275990484,8835739746.77819,642.0301363872276,1793.7050146901522,2835.395719160239,3839.3876958680717,491.2518605575514,1841.4844821653376,2717.450916182002,3817.0869574147746,1108.6116989524078,2216.8185540799163,1750.215430743613,16.05308897991185,1102.9182997587382,15.866995772785799,neutro
./datasets/fardo/m01s12_aug.wav,0.024207486364861176,0.11768033142463698,59.323893675319994,0.41270233108154974,85.2093380294335,0.63879630544562,71.64149531258246,7.561250852612328,63.27912668833568,126.47295643147066,77.78805381924622,0.5009633911368016,77.91196142304489,0.9306640625000001,154.43415217716588,0.47033019531682413,127.570917115952,11.942912839018655,118.57464293814377,136.64757975854002,107.92660771495683,11.113340468127975,-226.31461757442054,0.52296875,33.196761966656716,0.048233711236465006,7.981892631661468,4.988341551297342,0.0,0.6036747087912515,0.20565544358386653,0.26281487401527637,534.9098087616369,0.047096963115574736,5.887120389446841e-05,-3.204322708366936,-11.655303108509505,1320.4411013603146,2327.850991756281,3.685738647499755,18.045176856810116,46493267407.09676,575.3283142001457,1904.237974240007,2895.928180383368,3833.869578749761,434.9905076727167,1955.8731095126932,2876.894597177129,3716.924938543745,1093.978143623676,2246.170788226571,1736.7289722885587,16.30563571274068,1112.037080759587,15.73688530965754,tristeza
