Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.033804211765527725,0.45909082889556885,0.9942730069160461,0.8647869229316711
2,0.043199192732572556,0.611028790473938,0.9886018633842468,0.8711437582969666
3,0.07250047475099564,0.6898429989814758,0.9810112118721008,0.8371971249580383
4,0.07285672426223755,0.5397527813911438,0.9810133576393127,0.864661693572998
5,0.03985205292701721,0.7209540009498596,0.9898809194564819,0.8442617654800415
,,,Mean F1 Score,"0,85641025"
