Fold,Final Train Loss,Final Validation Loss,Final Train F1 Score,Final Validation F1 Score
1,0.08951683342456818,0.4483962059020996,0.9811429977416992,0.8867064118385315
2,0.04314086586236954,0.5776602625846863,0.9813428521156311,0.8915640711784363
3,0.05639371648430824,0.3439323604106903,0.980229914188385,0.9027752876281738
4,0.09956323355436325,0.7003056406974792,0.9688566327095032,0.8410884737968445
5,0.04846040904521942,0.27470630407333374,0.9865131974220276,0.9366378784179688
,,,Mean F1 Score,"0,89175442"
